T1d,T2d,T3d,T4d,T5d,T6d,T7d,T8d,T9d,T10d
8.060064274,26.10015291,43.61177414,45.81859059,53.93353345,66.30208411,72.05977755,72.2331468,72.64011899,72.81546697
12.1129106,29.29498699,49.5817624,82.04298370000002,139.5749947,170.5297286,194.6025596,223.0644472,251.144698,284.9359913
3.205189672,8.432983594,15.86608245,24.63694198,36.25380396,44.82244921,54.85429671,64.57851545,72.20100005,88.59213177
123.22489,244.12019,453.2079067,593.7482832999998,735.5549682999998,824.277338,926.7925347,978.4440193,1008.862467,1019.977572
24.18430616,76.42127674,93.37830008,114.110559,121.8985471,124.5175735,124.8295478,125.6041741,125.9014436,126.7773915
207.8778533,372.08613,438.0134783,452.8955438,469.41841280000006,498.1443535,526.3822458000002,565.2274225,596.8484932,612.6077252
12.00195774,78.88373257,115.3441445,133.5498141,138.2401127,149.708729,203.5740491,228.79198,241.72369680000003,287.1869567
4.099726525,6.444790652999999,7.162505189,9.595112644,12.22028839,17.71933088,28.18055005,34.577730100000004,41.11531046,51.63184374
43.49040512,69.74299911,94.29395536,105.6107503,112.8828524,123.1088905,187.3482239,226.8844739,261.1033734,273.38548110000005
13.44305012,45.76293953,83.72057285,103.3767355,126.1549019,175.5296167,238.3071697,275.8394942,309.8210832,335.0770035
8.961345968,15.45409519,20.71053703,44.22566125,64.39467575,77.78157888,92.43499806,113.7692607,132.8010733,132.9077123
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.32786575,38.78055529,44.69934841,53.26729135,61.75108743,75.84188093,99.3397338,120.2904684,140.5973781,162.3217772
30.64748464,46.97847729,52.95829377,61.97549499,70.99728512,79.91171946,96.86988992,129.6802763,158.6427501,175.3921775
60.23960133,101.0771561,124.9966578,133.1005648,136.9673411,137.7201931,139.1796602,141.05693069999995,141.4698034,142.6277345
19.02939171,22.93312547,33.33734102,34.20956329,34.81497252,36.22757438,39.88166911,54.68730781,67.38936685,70.728494
21.15782329,22.70428991,25.88880768,34.5376112,42.84792036,71.34516095,79.01696779,80.8056473,80.86640522,93.66333593
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.085974701,16.31986708,25.41923848,26.51882884,27.48930677,28.93681515,37.2945562,45.80334685,52.00684393,55.55438326
4.474890987,5.502159442999999,8.477844354,11.43680093,12.01711224,12.36658005,14.03101973,18.14076024,20.80891614,20.95387582
62.04492850000001,99.656002,130.47514579999998,140.1766187,147.65169640000005,156.1235285,189.5642958,213.7279676,222.4891986,234.4377787
13.20067225,35.47141655,53.19994237,77.54368247,98.7070232,112.6707334,119.41125259999998,146.3534664,163.4175058,175.3188806
43.70586276,88.75016573,124.6504831,134.80868610000002,143.5954575,150.73731809999995,157.098099,166.6761614,181.7403521,191.9080369
6.24724058,11.29592191,13.69939412,17.12440112,21.32595964,25.8822259,31.984580600000005,39.52818543,44.89994396,55.8970588
154.7217586,226.13526890000003,278.5396809,328.551701,361.0297271,383.098953,441.0006879,513.6816863,579.6689157000002,642.781717
104.2052468,127.0755146,162.680081,174.6158822,206.3690756,229.5284776,230.2723081,230.727594,233.2032553,244.8036287
131.3477217,210.1046883,272.7005927,334.4722085,346.7251827,349.9174771000001,351.9506508,352.9684045,368.9067525,407.9397912
29.49570129,35.76900557,59.27873757,68.59847619,72.4990944,75.62899051,76.40722099999998,79.96031359999998,81.15566275,81.545877
11.81657251,37.3462845,65.85576295,81.37379607,82.23545117,82.41369061,82.54957585,82.57125711,82.58979044,84.79019866
10.41059781,17.84093249,22.03137722,25.9419251,26.760601300000005,27.06532043,27.71883616,28.77413759,29.34957429,30.31507306
37.94902261,74.79886718,98.94832061,106.6648355,113.0741313,124.106822,133.4483876,140.68499630000002,151.52100000000004,153.2946589
20.99488416,30.71823361,34.67950315,36.18243811,38.33354366,56.01474086,80.30145962,80.833991,80.88485214,81.09019332
24.47009354,34.86051025,36.85562937,50.39850097,83.02291268,108.7278203,139.3411519,149.5730733,167.8969179,196.6904793
18.07750783,35.79603919,39.95981187,46.12133121,77.00034863,91.64246382,109.0080423,117.46215320000002,122.3217196,123.1200472
16.13327607,35.48028976,56.24217529,84.75101129,105.9930081,122.398549,132.9608969,148.2641791,160.5879526,167.3124432
26.042326,39.69804924,47.8619556,54.30430126,58.20201006,61.75552874,62.9029214,63.10938137,63.48429897,65.59328843
9.422324977,16.30839523,23.8774018,29.96671694,37.11259513,54.86325198,75.79782015,94.95815238,148.75962040000005,181.1947902
18.08398309,21.2141422,30.00715498,49.88284793,72.82675768,83.56395377,106.70764309999998,125.2209741,147.14934230000003,191.0571712
57.73778805,111.6933623,181.9816329,215.4508416,220.1919147,264.5760972,423.8765864,463.5985714,469.9865846,481.7663254
46.894936,78.613675,111.34282759999998,162.7488192,219.8910624,231.1597798,233.222469,255.1566456,261.5574062,279.10939360000003
68.72937673,128.020548,161.7280615,174.5585026,181.1684262,182.9938462,199.8274846,211.316656,259.151772,282.7122540000001
16.83592375,26.6332659,33.16240847,38.00233015,39.30656523,39.53704319,39.59799418,39.86823247,39.87194609,39.88214654
111.979395,219.2023916,296.65288819999995,326.7772454,356.6971153,398.1445002,476.75657350000006,536.9334133,569.1588861,589.0007822000001
1.6676889380000002,3.215014532,4.412968206,5.797958653999999,13.38953066,27.26864558,30.78079547,35.00280753,36.08002397,43.02664874
63.56244579,125.2260186,192.9099937,313.1751995,443.5658536,560.8545958,689.4000732000002,776.2446244,917.1598367,1010.392264
82.06957731,144.5808701,194.749707,264.3909722,322.5160758,370.0236705,399.8815087,434.256854,482.26116389999993,573.0851586
95.86211271,146.5278829,170.65938369999995,185.2364171,240.6006391,272.3037486,278.8436606,281.7830606,283.7497736,284.1758238999999
9.166946036,17.43476126,22.71123666,33.16165061,68.22745997,71.3577684,71.4191802,71.43685407,72.01572766,72.16394371
80.73160507,147.5586529,177.309256,201.69350580000005,220.4466313,240.9802225,299.3036709,323.0518101,345.1720285,368.2439505
5.930667872999999,12.6840506,14.0278291,14.73141741,21.23358268,33.38358189,42.41366843,42.951448,43.58335315,44.38603406
69.55896559,100.1815398,122.332848,130.6121035,134.4865733,148.0970092,155.44999130000005,164.6292263,203.3452635,241.1701813
35.78231256,75.60186884,79.86242014,83.04952034,85.00550505,91.7770953,125.9128515,143.076823,153.5559199,161.2169721
69.12298763,101.4440616,124.8511594,153.9616865,189.9794964,230.49682290000004,277.6079566,312.7244849,351.2001065,403.8676463
117.215005,242.200857,347.4487837,444.5169303,546.6349153,673.8560620000002,835.020802,1010.633505,1097.518518,1176.277105
34.23254554,65.89397865,81.69929263,83.43259639,83.9009646,84.21858179,84.27833708,84.38738012,84.85731224,85.47579608
0.070535889,0.140095308,0.150658494,1.6242306999999998,1.723142325,1.912189875,5.23749064,10.65403128,12.72774248,13.20841377
28.66903724,40.40968018,55.20263796,74.60312524,90.96614841,101.0232287,121.151811,138.5903969,160.1947127,191.1239945
58.14772583,133.8602761,184.8002014,217.038723,242.2212969,264.8279639,307.6449893,342.596038,360.0041259,372.1402446000001
8.879843463,9.143689769,9.905762165,14.99739269,18.23077843,22.78230005,25.12330299,28.28703589,36.26476423,44.98057145
28.48932508,71.81178183,100.02856640000002,127.4692287,160.4222816,164.13513769999997,164.4240336,166.1803039,167.1805777,167.6835868
61.98037083,113.3053357,115.7301072,117.006385,133.4870707,159.4516386,180.4443672,194.9325336,212.53256980000003,227.2497944
111.2313125,187.7136825,267.66957510000003,299.0040166,339.81887,364.1173675,396.3014706,422.739965,465.048462,490.4874615
63.85778903,70.73964909,77.41330422,80.98100155,95.59057383,122.0464364,150.90629819999995,172.3291184,189.5470129,199.6453188
6.98147381,20.28656811,20.73580974,20.79389614,20.90479343,22.10630007,22.88132595,25.82643176,36.04272121,45.81727122
54.422892,66.73606099999999,106.08651,146.2741293,168.74518669999995,177.48273319999996,193.9315448,203.63725,221.9090414,243.762039
0.754217274,1.26248629,4.210998088,9.887804827,15.35522368,20.25906046,23.73237052,24.37356278,25.06014230000001,28.78134192
49.05872288,79.12946966,90.47025242,97.9511669,117.8199818,128.45124429999998,134.93532380000002,141.914795,150.33892230000004,166.5963506
10.9197319,26.57261153,44.17240257,57.29210060000001,62.39364003,65.10295735,70.72507115,93.82029013,121.36511570000002,142.1088801
5.487755186,11.99586684,22.76932329,42.75070191,53.96472084,67.79681348,80.03356751,82.39560983,82.71194172,83.37867901
52.3862011,90.10977766,112.3992292,135.4823554,165.851051,197.279879,224.0917668,249.9271825,341.6137125,421.5461373
9.891764558,13.52595619,18.58717793,25.15798932,30.53309341,34.94147373,42.43109307,52.77194397,65.19127607,70.78215642
16.75235914,21.0504124,21.88193375,21.91071912,22.27665851,22.948384,23.84199696,24.33633389,24.37221773,24.51137407
79.90070190000002,146.6406084,288.9820115,405.9293455,429.86323160000006,477.2043193,534.3084372999998,603.9992706,657.0609316,709.6673024
59.15379367,105.404499,177.68637030000005,191.135632,191.9559535,192.6757272,193.89412980000003,197.7825461,204.1164203,204.8600109
0.023285458,0.043696484,0.047042728,0.283774136,0.370116677,0.459916327,0.946982832,1.281082832,1.363241134,1.557346098
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129.0575386,202.1474879,262.68043509999995,307.9836659,355.8251157,384.8336166,406.950831,444.1989319,473.867043,494.854127
15.93250971,28.38494118,39.20174589,43.20577251,61.02931848,125.3985639,221.5769672,237.8819434,243.0136967,243.0214554
79.52020999999998,141.2566653,199.724087,261.6567433,325.5522673,347.9097983,367.662313,395.6609073,414.6138067,432.8250167
30.54233084,57.96353645,84.26637666,133.2983071,188.0608738,214.1267706,277.5244554,305.9858512,325.09087410000006,329.3850801000001
15.68913263,43.76321664,74.30584822,137.0064581,190.284864,277.8566797,300.6432317,308.1192199,311.35679460000006,312.5366154
42.21098613,70.46001138,89.11130663,97.69025855,107.2460162,115.8512687,121.0338461,125.9415653,132.9112507,149.78692959999995
12.02896099,54.91558345,101.9234171,132.5969903,148.4007788,152.8988974,171.7570899,181.0583354,191.7996374,223.9418123
92.36596667,161.757058,287.989298,326.6656003,356.12588430000005,376.0870603,393.1023157,417.662682,444.670524,485.2351077
110.4161115,167.9466561,254.3127257,338.7312656000001,460.97133550000007,627.1038014,768.555415,808.4381473999998,827.1631744,848.0173991
207.2738514,216.5234935,216.7800356,217.8511146,222.3646258,223.71863,226.3982168,234.6520869,235.3532661,236.3887533
120.6028157,155.5996794,187.5900971,199.3951081,218.5163128,234.1787361,240.9945597,254.4809312,283.2953062,323.1256943
